epoch,binary_accuracy,loss,precision_8,recall_8,val_binary_accuracy,val_loss,val_precision_8,val_recall_8
0,0.4571428596973419,0.08984684944152832,0.12027649581432343,0.543749988079071,0.3316326439380646,0.08373870700597763,0.11621233820915222,0.675000011920929
1,0.3364796042442322,0.08267907798290253,0.12433581054210663,0.731249988079071,0.2806122303009033,0.078978531062603,0.11764705926179886,0.75
2,0.28724488615989685,0.07807488739490509,0.12288135290145874,0.7854166626930237,0.2612244784832001,0.07588092237710953,0.12060301750898361,0.800000011920929
3,0.2686224579811096,0.07523421198129654,0.12433113157749176,0.8229166865348816,0.24183674156665802,0.07325371354818344,0.1260504275560379,0.875
4,0.23775510489940643,0.07265464961528778,0.12274368107318878,0.8500000238418579,0.2122448980808258,0.07115514576435089,0.12355658411979675,0.8916666507720947
